,Title_x,Artist_x,id,artist_genres_x,Year_x,is_top100_x,acousticness_x,danceability_x,duration_ms_x,energy_x,instrumentalness_x,key_x,liveness_x,loudness_x,mode_x,speechiness_x,tempo_x,time_signature_x,valence_x,Title_y,Artist_y,artist_genres_y,Year_y,is_top100_y,acousticness_y,danceability_y,duration_ms_y,energy_y,instrumentalness_y,key_y,liveness_y,loudness_y,mode_y,speechiness_y,tempo_y,time_signature_y,valence_y
26,We Don't Talk Anymore,Charlie Puth,06KyNuuMOX1ROXRhj787tj,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",2016,0.0,0.621,0.728,217707.0,0.563,0.0,1.0,0.179,-8.053,0.0,0.134,100.017,4.0,0.352,We Don't Talk Anymore,Charlie Puth,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",2016,1.0,0.621,0.728,217707.0,0.563,0.0,1.0,0.179,-8.053,0.0,0.134,100.017,4.0,0.352
27,Way Down We Go,KALEO,0y1QJc3SJVPKJ1OvFmFqe6,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",2016,0.0,0.579,0.489,213707.0,0.505,0.000333,10.0,0.104,-8.022,0.0,0.117,163.255,4.0,0.337,,,,,,,,,,,,,,,,,,
28,Lost on You,LP,4oIRvB5YFuh4N7xFK5AEPh,['la pop'],2016,0.0,0.1,0.433,268105.0,0.724,0.0,5.0,0.0918,-6.126,0.0,0.0372,174.006,4.0,0.689,,,,,,,,,,,,,,,,,,
29,hate u love u,Olivia O'Brien,6ATgDc6e4sPn84hvJsAmPt,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2016,0.0,0.661,0.407,175467.0,0.416,0.0,6.0,0.0981,-8.916,0.0,0.175,179.947,4.0,0.244,,,,,,,,,,,,,,,,,,
30,In the Name of Love,Martin Garrix,23L5CiUhw2jV1OIMwthR3S,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",2016,0.0,0.109,0.501,195707.0,0.519,0.0,4.0,0.454,-5.88,0.0,0.0409,133.99,4.0,0.168,,,,,,,,,,,,,,,,,,
31,Think About It,Dennis Lloyd,4Yubb5GQW1aT9Zcb5ykOkh,['israeli pop'],2016,0.0,0.564,0.478,191688.0,0.509,0.00181,4.0,0.228,-9.252,1.0,0.2,143.7,4.0,0.0599,,,,,,,,,,,,,,,,,,
32,Dark Necessities,Red Hot Chili Peppers,2oaK4JLVnmRGIO9ytBE1bt,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",2016,0.0,0.0722,0.7,302000.0,0.742,0.0199,5.0,0.11,-6.777,0.0,0.0716,91.959,4.0,0.197,,,,,,,,,,,,,,,,,,
33,I Feel It Coming,The Weeknd,3dhjNA0jGA8vHBQ1VdD6vV,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016,0.0,0.426,0.773,269187.0,0.819,0.0,0.0,0.0679,-5.946,0.0,0.118,92.99,4.0,0.585,,,,,,,,,,,,,,,,,,
34,Six Feet Under,Billie Eilish,2VlLbhGLVJgdOW7kKdWWFc,"['electropop', 'pop']",2016,0.0,0.807,0.576,189613.0,0.307,0.000355,11.0,0.0792,-12.732,0.0,0.0428,67.513,4.0,0.157,,,,,,,,,,,,,,,,,,
35,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,4dASQiO1Eoo3RJvt74FtXB,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",2016,0.0,0.255,0.502,243491.0,0.786,0.0,9.0,0.65,-4.378,0.0,0.317,169.021,4.0,0.739,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",2016,1.0,0.255,0.502,243491.0,0.786,0.0,9.0,0.65,-4.378,0.0,0.317,169.021,4.0,0.739
36,Million Reasons,Lady Gaga,7dZ1Odmx9jWIweQSatnRqo,"['dance pop', 'pop', 'post-teen pop']",2016,0.0,0.494,0.666,205280.0,0.423,0.0,0.0,0.106,-8.012,1.0,0.043,129.89,4.0,0.154,,,,,,,,,,,,,,,,,,
37,Don't Let Me Down,The Chainsmokers,1i1fxkWeaMmKEB4T7zqbzK,"['electropop', 'pop', 'tropical house']",2016,0.0,0.157,0.532,208373.0,0.869,0.00508,11.0,0.136,-5.094,1.0,0.172,159.803,4.0,0.422,Don't Let Me Down,The Chainsmokers,"['electropop', 'pop', 'tropical house']",2016,1.0,0.157,0.532,208373.0,0.869,0.00508,11.0,0.136,-5.094,1.0,0.172,159.803,4.0,0.422
38,"i hate u, i love u (feat. olivia o'brien)",gnash,7vRriwrloYVaoAe3a9wJHe,['pop'],2016,0.0,0.687,0.492,251034.0,0.275,0.0,6.0,0.101,-13.4,0.0,0.3,92.6,4.0,0.18,"i hate u, i love u (feat. olivia o'brien)",gnash,['pop'],2016,1.0,0.687,0.492,251034.0,0.275,0.0,6.0,0.101,-13.4,0.0,0.3,92.6,4.0,0.18
39,I Fall Apart,Post Malone,75ZvA4QfFiZvzhj2xkaWAh,"['dfw rap', 'melodic rap', 'rap']",2016,0.0,0.0689,0.556,223347.0,0.538,0.0,8.0,0.196,-5.408,0.0,0.0382,143.95,4.0,0.291,I Fall Apart,Post Malone,"['dfw rap', 'melodic rap', 'rap']",2018,1.0,0.0689,0.556,223347.0,0.538,0.0,8.0,0.196,-5.408,0.0,0.0382,143.95,4.0,0.291
40,I Follow Rivers,Roni Alter,4a2MIdV2CBdA9mUOgi0RWR,[],2016,0.0,0.728,0.576,206354.0,0.235,0.101,4.0,0.0993,-14.41,0.0,0.0271,92.893,4.0,0.277,,,,,,,,,,,,,,,,,,
41,The Greatest (feat. Kendrick Lamar),Sia,7xHWNBFm6ObGEQPaUxHuKO,"['australian dance', 'australian pop', 'dance pop', 'pop']",2016,0.0,0.0102,0.668,210227.0,0.725,0.000479,1.0,0.0561,-6.127,1.0,0.266,191.944,4.0,0.729,,,,,,,,,,,,,,,,,,
42,Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr,"['pop', 'post-teen pop', 'viral pop']",2016,0.0,0.0549,0.564,204013.0,0.714,0.0,7.0,0.155,-4.987,1.0,0.129,175.924,4.0,0.33,,,,,,,,,,,,,,,,,,
43,Nevermind,Dennis Lloyd,3PHjgrovCBjQQl5Np5YQBy,['israeli pop'],2016,0.0,0.333,0.421,150471.0,0.472,0.0,10.0,0.117,-7.414,0.0,0.102,85.054,4.0,0.528,,,,,,,,,,,,,,,,,,
44,Side To Side,Ariana Grande,1pKeFVVUOPjFsOABub0OaV,"['dance pop', 'pop', 'post-teen pop']",2016,0.0,0.0513,0.65,226160.0,0.736,0.0,6.0,0.235,-5.84,0.0,0.229,159.174,4.0,0.612,,,,,,,,,,,,,,,,,,
45,Analyzing,Dennis Lloyd,1m4Q4BxRmuRHOCVsesAHTH,['israeli pop'],2016,0.0,0.026,0.6,181448.0,0.616,0.0,7.0,0.11,-3.046,0.0,0.0365,86.942,4.0,0.14,,,,,,,,,,,,,,,,,,
46,"How Far I'll Go - From ""Moana""",Alessia Cara,5EbX5xL3O2xT8FxCpYzgUO,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",2016,0.0,0.155,0.309,175517.0,0.544,0.000265,9.0,0.0727,-9.621,1.0,0.352,180.979,4.0,0.16,,,,,,,,,,,,,,,,,,
47,Act I: We Both Go Down,Dennis Lloyd,3CRnA1WqtVl4TdS2zv0etr,['israeli pop'],2016,0.0,0.535,0.643,175518.0,0.657,0.0,7.0,0.0846,-2.167,0.0,0.048,93.961,4.0,0.377,,,,,,,,,,,,,,,,,,
48,Act II: Can't Go Back,Dennis Lloyd,1NKbgxvn11sZCsUh64nDmh,['israeli pop'],2016,0.0,0.287,0.787,184817.0,0.619,0.0,8.0,0.124,-3.67,1.0,0.103,124.64,4.0,0.676,,,,,,,,,,,,,,,,,,
49,Stam,Static & Ben El,1UxPPRzZOUhZPTslSjzagr,"['israeli pop', 'jewish pop']",2016,0.0,0.436,0.807,167688.0,0.793,1.55e-05,6.0,0.265,-4.621,1.0,0.0483,99.968,4.0,0.81,,,,,,,,,,,,,,,,,,
50,Dangerous Woman,Ariana Grande,7l94dyN2hX9c6wWcZQuOGJ,"['dance pop', 'pop', 'post-teen pop']",2016,0.0,0.0529,0.662,235947.0,0.602,0.0,4.0,0.356,-5.369,0.0,0.0401,133.969,3.0,0.29,,,,,,,,,,,,,,,,,,
51,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0vbtURX4qv1l7besfwmnD8,"['dance pop', 'pop', 'pop rap']",2016,0.0,0.0353,0.663,197933.0,0.713,7.68e-06,7.0,0.0843,-6.647,0.0,0.112,101.965,4.0,0.69,,,,,,,,,,,,,,,,,,
52,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",2016,0.0,0.406,0.72,251088.0,0.763,0.0,9.0,0.18,-4.068,0.0,0.0523,101.965,4.0,0.742,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",2017,1.0,0.406,0.72,251088.0,0.763,0.0,9.0,0.18,-4.068,0.0,0.0523,101.965,4.0,0.742
53,Ish Shel Layla,Roni Dalumi,7HoHkBv5O9Kx1PL0BFKFdu,['israeli pop'],2016,0.0,0.587,0.538,191360.0,0.675,0.0,8.0,0.124,-4.995,0.0,0.0322,154.129,4.0,0.566,,,,,,,,,,,,,,,,,,
54,Dang! (feat. Anderson .Paak),Mac Miller,5iUQMwxUPdJBFeGkePtM66,"['hip hop', 'pittsburgh rap', 'rap']",2016,0.0,0.00826,0.836,305350.0,0.67,0.000355,5.0,0.0837,-6.907,0.0,0.23,107.018,4.0,0.556,,,,,,,,,,,,,,,,,,
55,Formation,Beyoncé,6g0Orsxv6glTJCt4cHsRsQ,"['dance pop', 'pop', 'post-teen pop', 'r&b']",2016,0.0,0.00532,0.896,206080.0,0.621,0.0,5.0,0.196,-6.857,0.0,0.237,121.966,4.0,0.818,,,,,,,,,,,,,,,,,,
56,Alone,Marshmello,3MEYFivt6bilQ9q9mFWZ4g,"['brostep', 'progressive electro house']",2016,0.0,0.0241,0.631,273803.0,0.953,0.0155,2.0,0.108,-3.739,1.0,0.0343,141.99,4.0,0.422,,,,,,,,,,,,,,,,,,
57,Unstoppable,Sia,2J2Z1SkXYghSajLibnQHOa,"['australian dance', 'australian pop', 'dance pop', 'pop']",2016,0.0,0.112,0.468,217747.0,0.779,0.000373,9.0,0.101,-4.839,1.0,0.0779,173.799,4.0,0.26,,,,,,,,,,,,,,,,,,
58,Go Fuck Yourself,Two Feet,4NZrZgrRoR4GwR7flWOXRI,"['indie poptimism', 'modern rock']",2016,0.0,0.571,0.765,129600.0,0.327,0.0479,6.0,0.0787,-8.029,1.0,0.277,74.931,4.0,0.292,,,,,,,,,,,,,,,,,,
59,Can I Be Him,James Arthur,5ZMCXFJe9EyL9TM6PrA56U,"['pop', 'post-teen pop', 'talent show', 'uk pop']",2016,0.0,0.308,0.696,246880.0,0.543,0.0,11.0,0.0939,-6.164,1.0,0.0489,107.969,4.0,0.479,,,,,,,,,,,,,,,,,,
60,Come Down,Anderson .Paak,276zciJ7Fg7Jk6Ta6QuLkp,['escape room'],2016,0.0,0.271,0.841,169727.0,0.898,0.0151,8.0,0.304,-7.135,1.0,0.104,98.401,4.0,0.931,,,,,,,,,,,,,,,,,,
61,24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,"['pop', 'post-teen pop']",2016,0.0,0.034,0.818,225983.0,0.803,0.0,1.0,0.153,-4.282,1.0,0.0797,106.97,4.0,0.632,24K Magic,Bruno Mars,"['pop', 'post-teen pop']",2017,1.0,0.034,0.818,225983.0,0.803,0.0,1.0,0.153,-4.282,1.0,0.0797,106.97,4.0,0.632
62,PILLOWTALK,ZAYN,0PDUDa38GO8lMxLCRc4lL1,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",2016,0.0,0.117,0.584,202747.0,0.7,0.0,11.0,0.0939,-4.275,1.0,0.0456,124.944,4.0,0.438,PILLOWTALK,ZAYN,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",2016,1.0,0.117,0.584,202747.0,0.7,0.0,11.0,0.0939,-4.275,1.0,0.0456,124.944,4.0,0.438
63,Ophelia,The Lumineers,5NORWMFC27ywGSZxi8uquP,"['folk-pop', 'modern rock', 'stomp and holler']",2016,0.0,0.613,0.664,160097.0,0.573,0.000363,5.0,0.0857,-6.519,1.0,0.0277,76.023,4.0,0.566,,,,,,,,,,,,,,,,,,
64,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,63CHa6rmamv9OsehkRD8oz,"['mellow gold', 'soft rock']",2016,0.0,0.198,0.58,206360.0,0.498,0.0,1.0,0.132,-6.901,1.0,0.0277,116.271,4.0,0.111,,,,,,,,,,,,,,,,,,
65,This Is What You Came For,Calvin Harris,0azC730Exh71aQlOt9Zj3y,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",2016,0.0,0.199,0.63,222160.0,0.928,0.124,9.0,0.148,-2.787,0.0,0.0331,123.963,4.0,0.465,This Is What You Came For,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",2016,1.0,0.199,0.63,222160.0,0.928,0.124,9.0,0.148,-2.787,0.0,0.0331,123.963,4.0,0.465
66,How Far I'll Go,Auli'i Cravalho,6mb6lVLNrcUgLnEN8QnDJd,"['disney', 'hollywood', 'movie tunes', 'show tunes']",2016,0.0,0.649,0.571,163387.0,0.307,0.0,1.0,0.178,-10.958,0.0,0.0499,83.72,4.0,0.108,,,,,,,,,,,,,,,,,,
67,Demons,Dennis Lloyd,7AmXI4suuSX87eUXybDHM9,['israeli pop'],2016,0.0,0.571,0.57,177294.0,0.372,7.21e-06,7.0,0.0797,-9.593,0.0,0.121,125.545,4.0,0.217,,,,,,,,,,,,,,,,,,
68,Alive,Sia,4E3afPSY5fUEelQS9ppL0e,"['australian dance', 'australian pop', 'dance pop', 'pop']",2016,0.0,0.254,0.508,263520.0,0.762,0.000122,6.0,0.108,-4.217,0.0,0.0489,99.963,4.0,0.444,,,,,,,,,,,,,,,,,,
69,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,4tCtwWceOPWzenK2HAIJSb,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'viral pop']",2016,0.0,0.103,0.803,214480.0,0.585,3.94e-06,8.0,0.0644,-5.861,1.0,0.0432,105.017,4.0,0.593,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'viral pop']",2016,1.0,0.103,0.803,214480.0,0.585,3.94e-06,8.0,0.0644,-5.861,1.0,0.0432,105.017,4.0,0.593
70,iSpy (feat. Lil Yachty),KYLE,2EEeOnHehOozLq4aS0n6SL,"['pop', 'pop rap', 'rap']",2016,0.0,0.378,0.746,253107.0,0.653,0.0,7.0,0.229,-6.745,1.0,0.289,75.016,4.0,0.672,iSpy (feat. Lil Yachty),KYLE,"['pop', 'pop rap', 'rap']",2017,1.0,0.378,0.746,253107.0,0.653,0.0,7.0,0.229,-6.745,1.0,0.289,75.016,4.0,0.672
71,My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",2016,0.0,0.0935,0.819,219160.0,0.913,3.72e-05,4.0,0.161,-3.059,0.0,0.0427,119.989,4.0,0.536,,,,,,,,,,,,,,,,,,
72,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,5uDASfU19gDxSjW8cnCaBp,['san diego rap'],2016,0.0,0.0312,0.886,177184.0,0.427,0.00099,6.0,0.0906,-10.028,1.0,0.145,108.034,4.0,0.23,,,,,,,,,,,,,,,,,,
73,Needed Me,Rihanna,4pAl7FkDMNBsjykPXo91B3,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",2016,0.0,0.11,0.671,191600.0,0.314,0.0,5.0,0.0825,-8.091,0.0,0.244,110.898,4.0,0.296,,,,,,,,,,,,,,,,,,
