,Title,Artist,id,artist_genres,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
199,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,7iDa6hUg2VgEL1o1HjmfBn,"['dance pop', 'pop', 'post-teen pop']",2018,1,0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579
200,Havana (feat. Young Thug),Camila Cabello,1rfofaqEpACxVEHIZBJe6W,"['dance pop', 'pop', 'post-teen pop']",2018,1,0.184,0.765,217307,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,4,0.394
201,rockstar (feat. 21 Savage),Post Malone,0e7ipj03S05BNilyu5bRzt,"['dfw rap', 'melodic rap', 'rap']",2018,1,0.124,0.585,218147,0.52,7.01e-05,5,0.131,-6.136,0,0.0712,159.801,4,0.129
202,Psycho (feat. Ty Dolla $ign),Post Malone,3swc6WTsr7rl9DqQKQA55C,"['dfw rap', 'melodic rap', 'rap']",2018,1,0.546,0.75,221440,0.56,0.0,8,0.111,-8.094,1,0.105,140.06,4,0.459
203,I Like It,Cardi B,58q2HKrzhC3ozto2nDdN4z,"['pop', 'pop rap', 'rap']",2018,1,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65
204,The Middle,Zedd,09IStsImFySgyp0pIQdqAc,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'post-teen pop', 'tropical house']",2018,1,0.171,0.753,184732,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,4,0.437
205,In My Feelings,Drake,2G7V7zsVDxg1yRsu7Ew9RJ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2018,1,0.0589,0.835,217925,0.626,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35
206,Girls Like You (feat. Cardi B),Maroon 5,6FRLCMO5TUHTexlWo8ym1W,"['pop', 'pop rock']",2018,1,0.568,0.851,235545,0.541,0.0,0,0.13,-6.825,1,0.0505,124.959,4,0.448
207,Nice For What,Drake,3CA9pLiwRIGtUBiMjbZmRw,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2018,1,0.0891,0.586,210747,0.909,0.000109,8,0.119,-6.474,1,0.0705,93.394,4,0.757
208,Lucid Dreams,Juice WRLD,0s3nnoMeVWz3989MkNQiRf,"['chicago rap', 'melodic rap']",2018,1,0.349,0.511,239836,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218
209,Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,"['dfw rap', 'melodic rap', 'rap']",2018,1,0.331,0.68,231267,0.578,0.0,10,0.135,-5.804,1,0.04,145.038,4,0.341
210,Finesse - Remix; feat. Cardi B,Bruno Mars,3Vo4wInECJQuz9BIBMOu8i,"['pop', 'post-teen pop']",2018,1,0.0185,0.704,217289,0.859,0.0,5,0.0215,-4.877,0,0.0996,105.115,4,0.926
211,Boo'd Up,Ella Mai,0At2qAoaVjIwWNAqrscXli,"['pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'uk contemporary r&b', 'urban contemporary']",2018,1,0.0862,0.561,256064,0.779,0.0,10,0.078,-5.107,0,0.0531,81.965,4,0.235
212,New Rules,Dua Lipa,6tF92PMv01Ug9Dh8Rmy6nH,"['dance pop', 'pop', 'uk pop']",2018,1,0.00261,0.762,209320,0.7,1.56e-05,9,0.153,-6.021,0,0.0694,116.073,4,0.608
213,SAD!,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,"['emo rap', 'miami hip hop']",2018,1,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
214,Never Be the Same,Camila Cabello,4eWQlBRaTjPPUlzacqEeoQ,"['dance pop', 'pop', 'post-teen pop']",2018,1,0.181,0.637,226973,0.713,0.000637,0,0.137,-4.333,1,0.0747,129.923,4,0.243
215,Love Lies (with Normani),Khalid,45Egmo7icyopuzJN0oMEdk,"['alternative r&b', 'pop']",2018,1,0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.338
216,no tears left to cry,Ariana Grande,2qT1uLXPVPzGgFOx4jtEuo,"['dance pop', 'pop', 'post-teen pop']",2018,1,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354
217,Mine,Bazzi,7uzmGiiJyRfuViKKK3lVmR,"['pop', 'post-teen pop']",2018,1,0.0161,0.71,131064,0.789,2.77e-06,4,0.451,-3.874,1,0.0722,142.929,4,0.717
218,Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB,"['modern rock', 'rock']",2018,1,0.00671,0.605,187147,0.822,0.134,0,0.147,-4.833,1,0.0438,167.997,4,0.288
219,Look Alive (feat. Drake),BlocBoy JB,4qKcDkK6siZ7Jp1Jb4m0aL,"['rap', 'southern hip hop', 'trap', 'vapor trap']",2018,1,0.00104,0.922,181263,0.581,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,0.595
220,Delicate,Taylor Swift,6NFyWDv5CjfwuzoCkw47Xf,"['dance pop', 'pop', 'post-teen pop']",2018,1,0.216,0.75,232253,0.404,0.000357,9,0.0911,-10.178,0,0.0682,95.045,4,0.0499
221,Yes Indeed,Lil Baby,6vN77lE9LK6HP2DewaN6HZ,"['atl hip hop', 'atl trap', 'rap']",2018,1,0.035,0.964,142273,0.346,0.0,5,0.108,-9.309,0,0.53,119.958,4,0.562
222,FRIENDS,Marshmello,08bNPGLD8AhKpnnERrAc6G,"['brostep', 'progressive electro house']",2018,1,0.205,0.626,202621,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,4,0.534
223,Bad At Love,Halsey,7y9iMe8SOB6z3NoHE2OfXl,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",2018,1,0.0604,0.675,181279,0.751,0.0,0,0.0893,-3.539,1,0.0296,118.384,4,0.612
224,Taste (feat. Offset),Tyga,5IaHrVsrferBYDm0bDyABy,"['pop rap', 'rap', 'trap']",2018,1,0.0236,0.884,232959,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,4,0.342
